"roll","branch"
1164417,"EEE"
1198699,"ECE"
1183285,"CSE"
1193626,"CSE"
1138243,"ICE"
1197563,"CSE"
1162548,"EEE"
1166423,"CSE"
1156353,"CSE"
1130955,"MME"
1138258,"ECE"
1160027,"MME"
1133073,"ICE"
1184785,"ICE"
1193914,"ECE"
1156188,"EEE"
1171254,"MME"
1167105,"ECE"
1135963,"ECE"
1111000,"ICE"
1199096,"MME"
1160603,"EEE"
1152310,"EEE"
1184870,"ECE"
1163298,"EEE"
1198382,"ECE"
1149576,"ICE"
1194885,"ECE"
1138393,"ICE"
1158963,"EEE"
1186816,"EEE"
1115077,"ECE"
1120165,"MME"
1180991,"MME"
1159022,"ECE"
1118464,"ICE"
1116736,"CSE"
1158351,"CSE"
1162120,"ICE"
1161934,"ICE"
1141194,"ECE"
1150454,"CSE"
1163349,"ICE"
1175037,"CSE"
1189314,"MME"
1132904,"ICE"
1150295,"EEE"
1134755,"ECE"
1137086,"MME"
1145043,"CSE"
1154598,"MME"
1148487,"MME"
1150442,"ICE"
1123583,"MME"
1165562,"MME"
1159113,"ICE"
1112935,"ECE"
1131221,"ECE"
1198406,"MME"
1116307,"ICE"
1192687,"ICE"
1171409,"ECE"
1167626,"ECE"
1156923,"ECE"
1165191,"ICE"
1193283,"ICE"
1120491,"ICE"
1121995,"CSE"
1189462,"EEE"
1187584,"EEE"
1160241,"CSE"
1163912,"CSE"
1157290,"ECE"
1177099,"MME"
1112480,"CSE"
1133417,"MME"
1119978,"ECE"
1180091,"ECE"
1156365,"CSE"
1162617,"EEE"
1123555,"EEE"
1118090,"CSE"
1137177,"EEE"
1148537,"ICE"
1191866,"ECE"
1198197,"ICE"
1143841,"CSE"
1123898,"ICE"
1115146,"CSE"
1122933,"ECE"
1196016,"CSE"
1163652,"EEE"
1151891,"EEE"
1133226,"MME"
1196621,"EEE"
1156392,"ICE"
1138747,"ICE"
1142454,"CSE"
1185583,"MME"
1166050,"MME"
1156039,"CSE"
1135400,"ECE"
1185842,"CSE"
1170253,"CSE"
1193457,"MME"
1122037,"EEE"
1135434,"EEE"
1141353,"EEE"
1113879,"ICE"
1180701,"CSE"
1127614,"ECE"
1186094,"ECE"
1160303,"CSE"
1175519,"CSE"
1116172,"ECE"
1174634,"CSE"
1118076,"ECE"
1184282,"ICE"
1136441,"EEE"
1149428,"CSE"
1162360,"ICE"
1188504,"CSE"
1135808,"CSE"
1110006,"ECE"
1133385,"EEE"
1186884,"ECE"
1129561,"CSE"
1182190,"ICE"
1112345,"MME"
1176530,"EEE"
1181728,"ICE"
1114208,"CSE"
1167095,"CSE"
1122293,"EEE"
1169930,"MME"
1177910,"MME"
1151151,"MME"
1157708,"MME"
1157301,"MME"
1135449,"ECE"
1140765,"ECE"
1166750,"ICE"
1110116,"EEE"
1129398,"EEE"
1127678,"MME"
1156339,"ECE"
1166954,"ICE"
1120656,"ICE"
1146972,"ECE"
1190541,"MME"
