"roll","branch"
1186330,"CSE"
1181708,"ICE"
1190082,"ICE"
1142250,"ECE"
1151947,"EEE"
1159963,"CSE"
1197905,"ICE"
1152982,"CSE"
1144959,"ECE"
1128336,"EEE"
1164350,"MME"
1190377,"EEE"
1184491,"EEE"
1167444,"MME"
1152760,"CSE"
1114273,"CSE"
1188519,"MME"
1133313,"EEE"
1136396,"EEE"
1156989,"ECE"
1145205,"ECE"
1154133,"MME"
1148217,"ECE"
1123282,"EEE"
1131477,"ICE"
1191551,"MME"
1153921,"EEE"
1179521,"ICE"
1143963,"CSE"
1159566,"ECE"
1145126,"EEE"
1156184,"EEE"
1159151,"MME"
1186396,"MME"
1114634,"EEE"
1120191,"MME"
1164682,"ECE"
1144114,"ICE"
1130023,"MME"
1179373,"ICE"
1167949,"MME"
1183661,"ICE"
1140140,"CSE"
1160304,"ECE"
1195664,"ECE"
1123849,"CSE"
1190460,"MME"
1199164,"CSE"
1182995,"ICE"
1177446,"MME"
1144915,"EEE"
1160140,"ICE"
1199689,"EEE"
1142724,"ICE"
1124197,"MME"
1118960,"MME"
1134061,"ECE"
1155000,"ICE"
1155086,"ECE"
1118516,"EEE"
1147858,"MME"
1199160,"CSE"
1171697,"ECE"
1190094,"MME"
1171905,"MME"
1194102,"EEE"
1139407,"ECE"
1182640,"CSE"
1132389,"ICE"
1151386,"CSE"
1150809,"CSE"
1113805,"ECE"
1167708,"CSE"
1132335,"ICE"
1176787,"ICE"
1116567,"MME"
1134505,"ICE"
1157090,"CSE"
1161118,"ICE"
1165331,"EEE"
1142139,"ICE"
1158343,"MME"
1118882,"ECE"
1133592,"ECE"
1133538,"ECE"
1187904,"ICE"
1170136,"ICE"
1158242,"ICE"
1194349,"ICE"
1198604,"CSE"
1195334,"CSE"
1111900,"ECE"
1118923,"MME"
1178717,"CSE"
1168148,"ECE"
1139193,"CSE"
1172289,"MME"
1158082,"CSE"
1166136,"EEE"
1193730,"MME"
1182290,"ICE"
1175750,"EEE"
1132832,"ECE"
1197301,"CSE"
1141142,"ECE"
1125282,"ICE"
1145640,"EEE"
1122573,"MME"
1135767,"ECE"
1111222,"ICE"
1131707,"ICE"
1116962,"ICE"
1188520,"EEE"
1122797,"CSE"
1179599,"CSE"
1153730,"MME"
1170347,"CSE"
1176818,"ECE"
1170058,"EEE"
1138012,"EEE"
1164748,"MME"
1155840,"ICE"
1179535,"ICE"
1198862,"ICE"
1190444,"CSE"
1171372,"MME"
1136792,"ICE"
1150406,"CSE"
1152456,"CSE"
1190358,"EEE"
1163374,"EEE"
1166742,"MME"
1132674,"EEE"
1172475,"ICE"
1181804,"EEE"
1141094,"CSE"
1151241,"ICE"
1161260,"ECE"
1195486,"EEE"
1166583,"ECE"
1168569,"MME"
1191210,"EEE"
1160580,"CSE"
1175813,"ICE"
1182114,"ECE"
1168502,"ICE"
1114687,"ICE"
1181469,"EEE"
1181240,"EEE"
1181969,"ECE"
